from,to,year,value
AUS,AUT,1984,20.6
AUS,AUT,1985,23.1
AUS,AUT,1986,26.700001
AUS,AUT,1987,35.700001
AUS,AUT,1988,32.282455
AUS,AUT,1989,25.636576
AUS,AUT,1990,23.73024
AUS,AUT,1991,28.680279
AUS,AUT,1992,33.280563
AUS,AUT,1993,24.991386
AUS,AUT,1994,33.093075
AUS,AUT,1995,22.492098
AUS,AUT,1996,23.476187
AUS,AUT,1997,25.850843
AUS,AUT,1998,34.296692
AUS,AUT,1999,29.0807
AUS,AUT,2000,25.0319
AUS,AUT,2001,40.918999
AUS,AUT,2002,37.524101
AUS,AUT,2003,45.687801
AUS,AUT,2004,58.892899
AUS,AUT,2005,75.979202
AUS,AUT,2006,96.275497
AUS,AUT,2007,102.7913
AUS,AUT,2008,79.2976
AUS,AUT,2009,58.374199
AUS,AUT,2010,50.5056
AUS,AUT,2011,79.102203
AUS,AUT,2012,51.889301
AUS,AUT,2013,60.960999
AUS,AUT,2014,89.750397
AUS,BEL,1984,153.2581
AUS,BEL,1985,158.04671
AUS,BEL,1986,180.2527
AUS,BEL,1987,246.6382
AUS,BEL,1988,373.4487
AUS,BEL,1989,423.7735
AUS,BEL,1990,382.50391
AUS,BEL,1991,331.06421
AUS,BEL,1992,396.1066
AUS,BEL,1993,277.81589
AUS,BEL,1994,308.0853
AUS,BEL,1995,330.6853
AUS,BEL,1996,422.51959
AUS,BEL,1997,613.40167
AUS,BEL,1998,695.65503
AUS,BEL,1999,715.60883
AUS,BEL,2000,579.94739
AUS,BEL,2001,500.70001
AUS,BEL,2002,585.56
AUS,BEL,2003,547.41107
AUS,BEL,2004,783.89948
AUS,BEL,2005,1090.2982
AUS,BEL,2006,1570.885
AUS,BEL,2007,1778.4904
AUS,BEL,2008,1643.6625
AUS,BEL,2009,963.84448
AUS,BEL,2010,1299.6289
AUS,BEL,2011,1908.0525
AUS,BEL,2012,2153.7253
AUS,BEL,2013,1738.199
AUS,BEL,2014,1402.7072
AUS,CAN,1984,323.39999
AUS,CAN,1985,297
AUS,CAN,1986,397.10001
AUS,CAN,1987,465.20001
AUS,CAN,1988,592.2066
AUS,CAN,1989,574.27094
AUS,CAN,1990,722.66681
AUS,CAN,1991,640.34601
AUS,CAN,1992,664.41003
AUS,CAN,1993,903.78595
AUS,CAN,1994,938.7182
AUS,CAN,1995,1029.1528
AUS,CAN,1996,1042.2727
AUS,CAN,1997,931.41229
AUS,CAN,1998,943.98608
AUS,CAN,1999,892.7276
AUS,CAN,2000,1143.5201
AUS,CAN,2001,1129.8757
AUS,CAN,2002,1196.0728
AUS,CAN,2003,1262.4917
AUS,CAN,2004,1497.386
AUS,CAN,2005,1583.5529
AUS,CAN,2006,1543.4319
AUS,CAN,2007,1840.0708
AUS,CAN,2008,1712.5619
AUS,CAN,2009,1575.2618
AUS,CAN,2010,1730.6746
AUS,CAN,2011,1964.8545
AUS,CAN,2012,2287.0044
AUS,CAN,2013,1923.5378
AUS,CAN,2014,1435.6946
AUS,CHE,1984,41.200001
AUS,CHE,1985,44.799999
AUS,CHE,1986,56
AUS,CHE,1987,62.099998
AUS,CHE,1988,58
AUS,CHE,1989,70.808319
AUS,CHE,1990,72.026985
AUS,CHE,1991,83.96492
AUS,CHE,1992,113.08896
AUS,CHE,1993,79.813515
AUS,CHE,1994,90.261635
AUS,CHE,1995,83.789932
AUS,CHE,1996,92.293289
AUS,CHE,1997,106.40171
AUS,CHE,1998,119.82088
AUS,CHE,1999,146.39999
AUS,CHE,2000,117.78941
AUS,CHE,2001,101.81155
AUS,CHE,2002,103.23942
AUS,CHE,2003,114.93756
AUS,CHE,2004,122.62672
AUS,CHE,2005,133.3284
AUS,CHE,2006,141.50827
AUS,CHE,2007,158.9176
AUS,CHE,2008,217.00984
AUS,CHE,2009,261.07376
AUS,CHE,2010,306.26572
AUS,CHE,2011,555.48016
AUS,CHE,2012,371.73331
AUS,CHE,2013,307.04214
AUS,CHE,2014,230.81929
AUS,CZE,1993,20.005697
AUS,CZE,1994,21.690279
AUS,CZE,1995,28.179178
AUS,CZE,1996,45.465237
AUS,CZE,1997,57.353619
AUS,CZE,1998,54.123371
AUS,CZE,1999,36.937588
AUS,CZE,2000,53.406334
AUS,CZE,2001,72.995293
AUS,CZE,2002,64.208771
AUS,CZE,2003,64.575134
AUS,CZE,2004,90.914627
AUS,CZE,2005,86.951828
AUS,CZE,2006,53.159863
AUS,CZE,2007,19.367901
AUS,CZE,2008,32.221199
AUS,CZE,2009,16.7612
AUS,CZE,2010,16.802401
AUS,CZE,2011,21.063
AUS,CZE,2012,16.2096
AUS,CZE,2013,94.368599
AUS,CZE,2014,99.6409
AUS,DEU,1990,1356.0703
