year,from,to,value
1990,AUS,HKG,767.72
1990,AUS,HKG,767.72
1991,AUS,HKG,949.06
1991,AUS,HKG,949.06
1992,AUS,HKG,1133.21
1992,AUS,HKG,1133.21
1993,AUS,HKG,1309.59
1993,AUS,HKG,1309.59
1994,AUS,HKG,1411.8
1994,AUS,HKG,1411.8
1995,AUS,HKG,1796.45
1995,AUS,HKG,1796.45
1996,AUS,HKG,2023.53
1996,AUS,HKG,2023.53
1997,AUS,HKG,2179.99
1997,AUS,HKG,2179.99
1998,AUS,HKG,1887.41
1998,AUS,HKG,1887.41
1999,AUS,HKG,1560.29
1999,AUS,HKG,1560.29
2000,AUS,HKG,1713.37
2000,AUS,HKG,1713.37
2001,AUS,HKG,1624.81
2001,AUS,HKG,1624.81
2002,AUS,HKG,1614.31
2002,AUS,HKG,1614.31
2003,AUS,HKG,1613.3
2003,AUS,HKG,1613.3
2004,AUS,HKG,1735.86
2004,AUS,HKG,1735.86
2005,AUS,HKG,1747.33
2005,AUS,HKG,1747.33
2006,AUS,HKG,2116.4
2006,AUS,HKG,2116.4
2007,AUS,HKG,2093.06
2007,AUS,HKG,2093.06
2008,AUS,HKG,2083.47
2008,AUS,HKG,2083.47
2009,AUS,HKG,2024.82
2009,AUS,HKG,2024.82
2010,AUS,HKG,2070.44
2010,AUS,HKG,2070.44
2011,AUS,HKG,2477.61
2011,AUS,HKG,2477.61
2012,AUS,HKG,2294.14
2012,AUS,HKG,2294.14
2013,AUS,HKG,2255.45
2013,AUS,HKG,2255.45
2014,AUS,HKG,2157.41
2014,AUS,HKG,2157.41
2015,AUS,HKG,4862.88
2015,AUS,HKG,4862.88
2016,AUS,HKG,6137.17
2016,AUS,HKG,6137.17
2017,AUS,HKG,9082.73
2017,AUS,HKG,9082.73
2018,AUS,HKG,7184.71
2018,AUS,HKG,7184.71
2019,AUS,HKG,4655.99
2019,AUS,HKG,4655.99
1990,AUT,HKG,146.68
1991,AUT,HKG,163.42
1992,AUT,HKG,184.13
1993,AUT,HKG,183.63
1994,AUT,HKG,212.06
1995,AUT,HKG,263.04
1996,AUT,HKG,232.72
1997,AUT,HKG,233
1998,AUT,HKG,193.57
1999,AUT,HKG,208.62
2000,AUT,HKG,281.85
2001,AUT,HKG,339.55
2002,AUT,HKG,563.76
2003,AUT,HKG,478.1
2004,AUT,HKG,504.74
2005,AUT,HKG,588.24
2006,AUT,HKG,599.37
2007,AUT,HKG,613.12
2008,AUT,HKG,621.39
2009,AUT,HKG,510.04
2010,AUT,HKG,533.53
2011,AUT,HKG,549.93
2012,AUT,HKG,565.88
2013,AUT,HKG,537.16
2014,AUT,HKG,509.1
2015,AUT,HKG,413.88
2016,AUT,HKG,393.16
2017,AUT,HKG,365.9
2018,AUT,HKG,340.7
2019,AUT,HKG,352.77
1990,BEL,HKG,
1991,BEL,HKG,
1992,BEL,HKG,
1993,BEL,HKG,
