Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26890054381.3088,29265058685.8326,29678901142.6306,33011757108.255,34780330055.6447,39589169625.8776,41143038129.2921,49943751387.1467,57116893442.8945,57360414055.6191,64675178727.7476,68297470347.5402,70158264544.3235,71176481719.0541,72785293845.6461,74711922904.5459,75600418107.4251,78557606646.5963,..
Albania,ALB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15915850772.4518,11459071693.385,10635495500.7951,11652186301.4499,12619651785.0091,14300883859.6414,15602264211.299,13898499442.5094,15125749133.4758,17075442576.9021,18262192006.0763,19776140511.8921,20673969507.3315,21817250518.9014,23019380737.3847,24292332881.7824,25725600917.0139,27263987230.5698,29308777973.7844,30290641534.432,31413482993.3974,32213057238.2315,32669685697.4538,32997031750.1365,33582559717.9701,34327673511.1637,35465568864.4499,36814039832.9076,38312850313.2893,39171085081.8773,..
Algeria,DZA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,225296158602.015,222592603378.99,226599275366.401,221840688866.392,219844130315.372,228198195812.571,237554318349.172,240167415706.4,252415962576.868,260493277295.655,270392021832.892,278503782487.878,294099994307.198,315275193897.318,328832027234.901,348233116841.76,354153079828.072,366194284542.224,374982947371.239,380982674529.179,394698050812.229,406144294285.784,419953200291.5,431711889899.662,448116941715.849,464697268559.337,479567581153.234,485801959708.226,491631583224.726,495564635890.522,..
American Samoa,ASM,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68524299956.2213,69203621977.5983,65163320249.051,49534929134.6161,50198381863.7314,57728139157.7801,65547051778.05,70315126122.1511,73613711665.7012,75219587217.0244,77517262957.102,80777637917.8797,91816456696.4398,94561631036.5231,104918835770.191,120686998750.232,134623551003.143,153484335057.563,170622608225.526,172087766086.568,179666395220.529,185904369961.674,201784670079.693,211782181648.306,221995647525.415,224090335322.844,218308693423.998,217987314775.762,213619656135.168,212285293091.615,..
Antigua and Barbuda,ATG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,966654847.157381,987694849.722177,999137049.523147,1051890273.87083,1122121906.50468,1073202021.45363,1144081216.6836,1206680861.57754,1263770442.59562,1310626221.87155,1391930018.53716,1328624992.95817,1342275843.7566,1423839821.82243,1505953071.73319,1603445933.30164,1807214224.14833,1975563153.71117,1975279845.07537,1738983097.39176,1602636480.0565,1571247039.57167,1624243099.89289,1614483406.48004,1675764798.94618,1739867714.15252,1835521960.49272,1893259104.10692,2033155752.10302,2127873345.40241,..
Argentina,ARG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,461383067225.134,503521692888.535,543487677702.974,588091597672.109,622413803633.763,604704826275.256,638124986393.31,689883602495.486,716445355059.163,692190405344.027,686729030389.609,656452248385.956,584935157778.609,636626116300.301,694110738122.919,755551060130.694,816351398602.519,889885482502.201,925990210881.201,871185248045.656,959396223087.488,1016997908864.26,1006559234306.53,1030770242937.09,1004870951890.66,1032315583654.85,1010840035132.42,1039330591569.37,1012668104736.11,991523444188.129,..
Armenia,ARM,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18327906064.5098,16183541332.9899,9418820611.43951,8589964511.29035,9053822833.63031,9678536466.07655,10246221416.4922,10586506596.0205,11359321576.2289,11734179188.3105,12426495760.7871,13619439353.7327,15417205348.1442,17575614097.1234,19421053577.114,22120580024.1606,25040496587.2317,28471044620.0698,30435546698.9769,26144134614.2082,26719305575.777,27975112937.4842,29989321069.253,30978968664.5384,32094211536.6445,33121226305.4854,33187468758.0387,35676528915.4363,37531708418.9153,40384118258.2046,..
Aruba,ABW,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2275001194.693,2456156639.11652,2600636441.41749,2790682950.598,3019627868.09031,3096542135.39847,3133260565.77017,3354057489.24256,3420869839.91215,3463221648.91387,3727000980.15587,3616262212.9161,3497878574.78335,3566980819.1811,3849184770.50407,3895927320.69771,3936858226.41296,4007730570.66551,4004095236.563,3582874486.54068,3450844508.80398,3569762499.92863,3520861643.76522,3668675595.35006,3679681622.13611,3889423506.82798,3971101384.35631,4050523376.47918,..,..,..
Australia,AUS,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,531657417446.988,529542390139.068,531725082854.462,553153106320.53,575190118453.87,597264507669.433,620429921026.468,645039507508.746,674560958141.225,708785476809.414,736662980256.488,750886893340.096,780932911988.617,804251055836.809,836867071104.459,863682549870.408,887818478500.364,921948265598.088,955672704683.418,974184026871.106,994324474297.8,1018812263046.62,1058730986861.91,1086098099806.89,1113610210053.6,1138027755665.14,1169558546683.39,1196465534857.54,1231752722639.31,1258370360642.45,..
Austria,AUT,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,288383109195.754,298308182385.13,304553337618.162,306157752630.93,313512026402.791,321876475634.595,329439072390.279,336336206798.696,348381838532.846,360771450714.214,372950092476.333,377675997409.896,383913520157.069,387527954310.081,398127309755.908,407061546662.058,421121622782.609,436818574585.754,443197976469.029,426513442161.907,434348893638.567,447044031303.555,450085922640.983,450200715760.193,453177770858.855,457775266531.187,466882417803.398,478085670423.097,490420857927.421,497378626718.276,..
